id,titulo,categoria,subcategoria
IbthtipprPs,Conheça a sua Smartway,Apresentação Modelos
MzE31nGVf4g,Sinalização de Segurança,Dicas Smartway
eW8npbJ1HNk,Economia,Dicas Smartway
6ataBftumRU,3 Curiosidades sobre a City 350w,Dicas Smartway
WwBSOl3ps14,+ 3 Curiosidades sobre a City 350w,Dicas Smartway
qPHMcMd8yi0,10 Motivos para ter uma Smartway,Dicas Smartway
8X_DcUSCW8U,3 Dicas para Aumentar a Vida Útil da sua Smartway,Dicas Smartway
EbNULWEd8w8,Vence Inclinações City 350w,Dicas Smartway
aUni5pBknao,Peso Máximo Suportado City 350w,Dicas Smartway
lBss6bCZG0g,Como Funciona o Níveis de Velocidade,Dicas Smartway
qphNd16o4r8,Elétrico vs Combustão,Dicas Smartway
vL7s5cb7TfI,Quando pedalar,Dicas Smartway
x1eMHKDf7Xg,Qual Estatura Ideal,Dicas Smartway
Jik7gk5F2iI,Nova Resolução do CONTRAN,Dicas Smartway
98_Xr830Qo0,Como Funciona o Acelerador,Dicas Smartway
D1jdtlAwm1A,Tipos de Baterias,Dicas Smartway
XEitkpsfLxw,Itens Inclusos,Dicas Smartway
gzV2heUMZq4,Como Calibrar os Pneus,Dicas Smartway
rZ76g_-_zFA,Trava e Controle da City 350w,Dicas Smartway
sGDg0D99KMg,Como Recarregar,Dicas Smartway
kaCs66_lNOA,Dicas de Segurança City 350w,Dicas Smartway
Bz2YD05zam8,Conheça a Power 600w,Apresentação Modelos,Triciclo
ZXy6uODUSP4,Conheça a Wasp 800w,Apresentação Modelos,Veículo 2 Rodas
67-O4BDY1cU,+ Conheça a Wasp 800w,Apresentação Modelos,Veículo 2 Rodas
AlUEnmKX_Gw,Conheça a Austin 1000w,Apresentação Modelos,Veículo 2 Rodas
-ckF34lAesQ,Conheça a Turbo 500w,Apresentação Modelos,Veículo 2 Rodas
MsIwU7NC6S8,Conheça a Confort 500w,Apresentação Modelos,Veículo 2 Rodas
Po94RBnPiUA,Conheça a Family 500w,Apresentação Modelos,Veículo 2 Rodas
